Client ENTER released
Client ENTER released
Client ENTER released
Client LEFT SHIFT pressed
Client LEFT SHIFT pressed
Client LEFT SHIFT pressed
Client LEFT SHIFT pressed
Client LEFT SHIFT pressed
Client LEFT SHIFT pressed
Client LEFT SHIFT pressed
Client LEFT SHIFT pressed
Client LEFT SHIFT pressed
Client LEFT SHIFT pressed
Client LEFT SHIFT pressed
Client LEFT SHIFT pressed
Client LEFT SHIFT pressed
Client LEFT SHIFT pressed
Client LEFT SHIFT pressed
Client LEFT SHIFT pressed
Client LEFT SHIFT pressed
Client LEFT SHIFT pressed
Client LEFT SHIFT pressed
Client LEFT SHIFT pressed
Client LEFT SHIFT pressed
Client LEFT SHIFT pressed
Client LEFT SHIFT pressed
Client LEFT SHIFT pressed
Client LEFT SHIFT pressed
Client LEFT SHIFT pressed
Client LEFT SHIFT pressed
Client LEFT SHIFT pressed
Client LEFT SHIFT pressed
Client LEFT SHIFT pressed
Client LEFT SHIFT pressed
Client LEFT SHIFT pressed
Client LEFT SHIFT pressed
Client LEFT SHIFT pressed
Client LEFT SHIFT pressed
Client LEFT SHIFT pressed
Client LEFT SHIFT pressed
Client LEFT SHIFT pressed
Client LEFT SHIFT pressed
Client LEFT SHIFT pressed
Client LEFT SHIFT pressed
Client LEFT SHIFT pressed
Client LEFT SHIFT pressed
Client LEFT SHIFT pressed
Client LEFT SHIFT pressed
Client LEFT SHIFT pressed
Client LEFT SHIFT pressed
Client LEFT SHIFT pressed
Client LEFT SHIFT released
Client LEFT SHIFT released
Client LEFT SHIFT released
Mouse move at: 1398 378
Mouse move at: 1398 378
Mouse move at: 1398 378
Mouse move at: 1385 382
Mouse move at: 1385 382
Mouse move at: 1385 382
Mouse move at: 1356 387
Mouse move at: 1356 387
Mouse move at: 1356 387
Mouse move at: 1298 389
Mouse move at: 1298 389
Mouse move at: 1298 389
Mouse move at: 1235 381
Mouse move at: 1235 381
Mouse move at: 1235 381
Mouse move at: 1157 355
Mouse move at: 1157 355
Mouse move at: 1157 355
Mouse move at: 1074 312
Mouse move at: 1074 312
Mouse move at: 1074 312
Mouse move at: 983 257
Mouse move at: 983 257
Mouse move at: 983 257
Mouse move at: 892 196
Mouse move at: 892 196
Mouse move at: 892 196
Mouse move at: 869 170
Mouse move at: 869 170
Mouse move at: 869 170
Mouse move at: 810 119
Mouse move at: 810 119
Mouse move at: 810 119
Mouse move at: 729 65
Mouse move at: 729 65
Mouse move at: 729 65
Mouse move at: 652 23
Mouse move at: 652 23
Mouse move at: 652 23
Mouse move at: 583 -10
Mouse move at: 583 -10
Mouse move at: 583 -10
Mouse move at: 527 -22
Mouse move at: 527 -22
Mouse move at: 527 -22
Mouse move at: 489 -15
Mouse move at: 489 -15
Mouse move at: 489 -15
Mouse move at: 467 -10
Mouse move at: 467 -10
Mouse move at: 467 -10
Mouse move at: 458 -4
Mouse move at: 458 -4
Mouse move at: 458 -4
Mouse move at: 454 -2
Mouse move at: 454 -2
Mouse move at: 454 -2
Mouse move at: 452 -1
Mouse move at: 452 -1
Mouse move at: 452 -1
Mouse move at: 451 -1
